anio,impuesto_std,recaudacion_total
2020,GANANCIAS,1302738.2096868
2020,IVA,1604043.47860788
2020,TOTAL,7607538.1569911
2021,GANANCIAS,580850.74422816
2021,IVA,971243.5112375601
2021,TOTAL,3955086.82333743
2023,GANANCIAS,14528899.8865653
2023,IVA,24123122.35039548
2023,TOTAL,89702505.58272777
2024,GANANCIAS,47856213.504383
2024,IVA,78829147.14913154
2024,TOTAL,308981141.1715474
2025,GANANCIAS,67570444.5074172
2025,IVA,111540734.74886864
2025,TOTAL,421474604.10690933
